구분,항목명,위치,상태메모
GitHub-공개,Cody-Stat,https://github.com/hyun02063185-AX-beginner/Cody-Stat,"마리너 자율 프로젝트(지정 미션 아님, 자율 기획) - 포트폴리오 포함 확정"
GitHub-공개,ForSunGun,https://github.com/hyun02063185-AX-beginner/ForSunGun,택배주문 자동화 타당성 검토 리포트
GitHub-비공개,AX_Lecture,repo(private),AX 실무입문 데모 20강(사유의 방)
GitHub-비공개,AI_First_Step,repo(private),AI 첫걸음 20강(신입 온보딩 컨셉)
GitHub-비공개,science-qbank,repo(private),과학 문제은행 시스템 - 핵심 개인 프로젝트
GitHub-비공개,science-qbank-v2,repo(private),과학 문제은행 PoC v2
로컬-노트북,웹툰생성기_V2_보강,Desktop/AX강사준비/실습/AX수업/실습/,Next.js+TS 앱. AI이미지생성 API·시나리오 관리 등 실동작 앱. 바이브코딩 실습 결과물로 강함
로컬-노트북,김현래_포트폴리오(구),Documents/김현래/소개자료/,impress.js 기반 옛 포트폴리오 초안 발견. 오래된 이력(주차별 캡처 이미지). 참고용
로컬-노트북,AX_강사_육성_표준개요서,Desktop/AX강사준비/실습/AX수업/,강사양성과정 산출물
로컬-노트북,데모데이 자료,Desktop/AX강사준비/실습/AX수업/데모데이/,사유의 방 데모데이 화면캡처 등
로컬-노트북,AX수업_발표자료,Desktop/AX강사준비/실습/AX수업/AX수업_발표/,발표자료 17개
로컬-노트북,경영반_마케팅반 강의안·워크북(35차시 x4세트),Desktop/AX강사준비/실습/AX수업/,강사양성과정 실습 산출물 4세트
로컬-노트북,출강 자료 - 강의자료 폴더,Desktop/강의자료/,"10개 학교별 하위폴더. 일부(신철원중·삼척삼일고·문현고·덕이고·진건고·화정고·용현중)는 이력서와 일치, 일부(인천세일고·남양주화광중·양정여고·호평중)는 이력서에 없어 확인 필요"
로컬-노트북,AX강의안생성기,Desktop/AX강사준비/실습/AX수업/실습/AX강의안생성기,"Next.js 웹앱, AI로 강의안 기획→PPTX 슬라이드 자동생성. 기획서 11종+실제 출력물(강의안.pptx) 포함. AX 강사 직무와 가장 직접 연결됨. 확인 필요(포함 여부)"
로컬-노트북,타로카드 앱(260701),Desktop/AX강사준비/실습/AX수업/실습/260701_타로카드,Vite+React 게임 앱. 기획~테스트까지 문서화된 개발 프로세스. 확인 필요(포함 여부)
